Generation,Average,Best,Updates,Samples
0,791.466666667,2380.0,77894,30
1,1892.56666667,3216.66666667,131944,30
2,2100.66666667,3383.33333333,142821,30
3,2128.96666667,3420.0,143351,30
4,2393.6,3560.0,163308,30
5,2253.73333333,3510.0,149281,30
6,2351.3,3506.66666667,156601,30
7,2425.26666667,3563.33333333,161067,30
8,2442.26666667,3606.66666667,162089,30
9,2512.66666667,3596.66666667,168980,30
10,2397.9,3546.66666667,157994,30
11,2315.0,3553.33333333,152112,30
12,2349.13333333,3576.66666667,156615,30
13,2462.13333333,3610.0,163562,30
14,2424.33333333,3580.0,160323,30
15,2501.76666667,3670.0,165187,30
16,2499.06666667,3720.0,166714,30
17,2322.66666667,3583.33333333,152456,30
18,2312.0,3513.33333333,152859,30
19,2289.63333333,3470.0,148985,30
20,2391.13333333,3563.33333333,159411,30
21,2412.43333333,3650.0,160190,30
22,2404.06666667,3573.33333333,161188,30
23,2417.53333333,3573.33333333,160825,30
24,2310.03333333,3470.0,153139,30
25,2356.13333333,3480.0,158708,30
26,2338.5,3520.0,155331,30
27,2442.53333333,3610.0,164267,30
28,2329.4,3556.66666667,153543,30
29,2397.03333333,3576.66666667,158945,30
30,2430.56666667,3563.33333333,162672,30
31,2453.5,3580.0,162816,30
32,2405.56666667,3586.66666667,157020,30
33,2385.93333333,3523.33333333,156305,30
34,2304.36666667,3520.0,151737,30
35,2338.16666667,3616.66666667,155465,30
36,2331.23333333,3483.33333333,155368,30
37,2284.96666667,3483.33333333,151582,30
38,2347.43333333,3500.0,158602,30
39,2328.2,3553.33333333,153350,30
40,2411.7,3563.33333333,162104,30
41,2389.66666667,3540.0,157395,30
42,2432.16666667,3540.0,161471,30
43,2373.36666667,3583.33333333,157755,30
44,2342.51724138,3600.0,154601,29
45,2414.48275862,3510.34482759,161475,29
46,2257.68965517,3555.17241379,148080,29
47,2424.92857143,3607.14285714,160527,28
48,2372.14285714,3485.71428571,159485,28
49,2409.07692308,3600.0,158861,26
50,2428.72,3512.0,160760,25
51,2427.63636364,3531.81818182,162198,22
52,2417.35,3515.0,162681,20
53,2349.73684211,3526.31578947,156102,19
54,2389.88888889,3466.66666667,159531,18
55,2421.44444444,3583.33333333,159132,18
56,2315.94117647,3505.88235294,152937,17
57,2416.13333333,3626.66666667,161489,15
58,2378.2,3480.0,160761,15
59,2269.06666667,3400.0,152422,15
60,2059.5,3242.85714286,133108,14
61,2133.53846154,3438.46153846,141752,13
62,2181.53846154,3338.46153846,145655,13
63,2198.69230769,3376.92307692,145313,13
64,2301.91666667,3575.0,154243,12
65,2330.41666667,3533.33333333,154069,12
66,2334.63636364,3518.18181818,153915,11
67,2256.27272727,3545.45454545,152085,11
68,2410.18181818,3554.54545455,156843,11
69,2324.45454545,3609.09090909,153840,11
70,2248.1,3470.0,150738,10
71,2300.0,3510.0,155786,10
72,2464.9,3720.0,164975,10
73,2421.0,3560.0,163259,10
74,2357.9,3530.0,158565,10
75,2432.3,3600.0,163987,10
76,2388.7,3570.0,156603,10
77,2437.0,3570.0,162134,10
78,2385.6,3500.0,161126,10
79,2328.5,3530.0,154936,10
80,2403.4,3540.0,157945,10
81,2418.2,3520.0,163279,10
82,2471.6,3640.0,166562,10
83,2360.3,3570.0,155630,10
84,2418.2,3540.0,161148,10
85,2387.6,3470.0,158934,10
86,2269.1,3350.0,152716,10
87,2475.9,3630.0,167733,10
88,2372.6,3500.0,157455,10
89,2296.7,3530.0,147317,10
90,2527.0,3580.0,166815,10
91,2417.6,3540.0,163414,10
92,2381.8,3540.0,158394,10
93,2414.0,3620.0,164585,10
94,2432.5,3610.0,162649,10
95,2400.5,3520.0,161810,10
96,2253.8,3390.0,148822,10
97,2250.4,3420.0,147682,10
98,2207.9,3580.0,144376,10
99,2247.3,3440.0,148153,10
100,2254.9,3370.0,151084,10
101,2219.2,3430.0,149587,10
102,2375.7,3510.0,156600,10
103,2411.0,3490.0,160589,10
104,2344.3,3450.0,157867,10
105,2404.9,3430.0,159096,10
106,2233.4,3350.0,149824,10
107,2469.2,3610.0,166583,10
108,2461.6,3640.0,165684,10
109,2420.3,3610.0,163096,10
110,2246.8,3480.0,144690,10
111,2343.5,3560.0,158916,10
112,2149.8,3450.0,140663,10
113,2327.1,3550.0,154932,10
114,2248.9,3500.0,148858,10
115,2196.9,3510.0,146353,10
116,2272.3,3510.0,151370,10
117,2248.4,3470.0,151502,10
118,2220.4,3430.0,146292,10
119,2185.6,3320.0,142519,10
120,2343.3,3440.0,159406,10
121,2311.9,3480.0,154482,10
122,2361.4,3520.0,155676,10
123,2250.4,3430.0,151464,10
124,2270.0,3430.0,153297,10
125,2129.1,3300.0,143420,10
126,2389.1,3480.0,164711,10
127,2169.9,3480.0,146231,10
128,2139.7,3390.0,140397,10
129,2239.8,3400.0,150284,10
130,2248.2,3530.0,151111,10
131,2389.66666667,3522.22222222,165680,9
132,2340.77777778,3655.55555556,159530,9
133,2179.77777778,3566.66666667,143825,9
134,2297.66666667,3411.11111111,157330,9
135,2076.5,3325.0,144244,8
136,2163.0,3450.0,143809,8
137,1999.125,3500.0,132943,8
138,2171.875,3512.5,146542,8
139,2230.14285714,3314.28571429,148799,7
140,2135.14285714,3371.42857143,146159,7
141,2123.42857143,3400.0,138969,7
142,2203.42857143,3500.0,146866,7
143,1986.42857143,3428.57142857,128322,7
144,2249.42857143,3400.0,153835,7
145,2215.0,3357.14285714,146245,7
146,2026.71428571,3314.28571429,137436,7
147,2183.28571429,3357.14285714,147278,7
148,2193.57142857,3400.0,148368,7
149,1987.0,3257.14285714,129405,7
150,1991.71428571,3185.71428571,134401,7
151,1956.71428571,3285.71428571,129588,7
152,1970.14285714,3185.71428571,136372,7
153,2316.42857143,3457.14285714,163049,7
154,2180.0,3428.57142857,146615,7
155,1822.28571429,3142.85714286,119630,7
156,2109.71428571,3314.28571429,142715,7
157,2081.83333333,3316.66666667,140823,6
158,2166.0,3333.33333333,151673,6
159,2281.0,3500.0,157389,6
160,2255.0,3466.66666667,150598,6
161,2119.66666667,3266.66666667,138247,6
162,2295.5,3500.0,150816,6
163,2221.0,3283.33333333,147588,6
164,2173.4,3320.0,153951,5
165,2034.8,3460.0,141900,5
166,2129.6,3540.0,143784,5
167,2326.2,3400.0,160386,5
168,2099.6,3300.0,138688,5
169,2377.0,3500.0,161258,5
170,2112.0,3580.0,137861,5
171,2085.0,3280.0,144005,5
172,2003.0,3380.0,135220,5
173,2199.8,3360.0,157180,5
174,1972.4,3440.0,128350,5
175,1907.6,3180.0,129679,5
176,2129.0,3420.0,148323,5
177,2013.8,3400.0,133127,5
178,2082.4,3500.0,142960,5
179,2060.4,3420.0,141676,5
180,2134.6,3360.0,151663,5
181,1857.2,3260.0,122657,5
182,2119.8,3480.0,147165,5
183,2436.8,3640.0,163703,5
184,2219.6,3480.0,148294,5
185,2329.2,3520.0,159060,5
186,2059.0,3420.0,135885,5
187,2104.8,3220.0,141807,5
188,2053.6,3180.0,139892,5
189,2240.4,3380.0,151477,5
190,2235.0,3360.0,153679,5
191,2183.0,3400.0,144438,5
192,2195.4,3400.0,149943,5
193,2036.75,3200.0,138358,4
194,2176.0,3325.0,141056,4
195,2160.0,3275.0,147915,4
196,2036.75,3500.0,137228,4
197,2184.25,3400.0,148749,4
198,2022.0,3500.0,140350,2
199,2210.0,3250.0,165089,2
200,2530.0,3600.0,170573,2
